,temp,offset,t_sat,b1,intensity,b0,reference,state
0,293,7.7371,30.0,0.3,0.9158500928978756,600.4328258,b1,dSB
1,293,7.7371,30.0,0.6,0.8709849234469226,600.4328258,b1,dSB
2,293,7.7371,30.0,1.0,0.8626998293172183,600.4328258,b1,dSB
3,293,7.7371,30.0,1.5,0.8374638495708535,600.4328258,b1,dSB
4,293,7.7371,30.0,2.0,0.8375415868854114,600.4328258,b1,dSB
5,293,7.7371,30.0,4.0,0.8298544676918327,600.4328258,b1,dSB
6,293,7.7371,30.0,6.0,0.8301380980632891,600.4328258,b1,dSB
7,293,7.7371,30.0,8.0,0.8211270032506279,600.4328258,b1,dSB
8,293,7.7371,30.0,10.0,0.8223170416321768,600.4328258,b1,dSB
9,298,7.7934,30.0,0.3,0.8912642847031667,600.4328258,b1,dSB
10,298,7.7934,30.0,0.6,0.8421421405956007,600.4328258,b1,dSB
11,298,7.7934,30.0,1.0,0.8122206962354828,600.4328258,b1,dSB
12,298,7.7934,30.0,1.5,0.8055274837975527,600.4328258,b1,dSB
13,298,7.7934,30.0,2.0,0.8077372979420133,600.4328258,b1,dSB
14,298,7.7934,30.0,4.0,0.8071283323384236,600.4328258,b1,dSB
15,298,7.7934,30.0,6.0,0.79748793262989,600.4328258,b1,dSB
16,298,7.7934,30.0,8.0,0.7955693478559331,600.4328258,b1,dSB
17,298,7.7934,30.0,10.0,0.7830561007895505,600.4328258,b1,dSB
18,303,7.8479,30.0,0.3,0.8765816019207837,600.4328258,b1,dSB
19,303,7.8479,30.0,0.6,0.7931565385229538,600.4328258,b1,dSB
20,303,7.8479,30.0,1.0,0.7786387725694064,600.4328258,b1,dSB
21,303,7.8479,30.0,1.5,0.7533977451175193,600.4328258,b1,dSB
22,303,7.8479,30.0,2.0,0.7497621837497548,600.4328258,b1,dSB
23,303,7.8479,30.0,4.0,0.7551232396160686,600.4328258,b1,dSB
24,303,7.8479,30.0,6.0,0.7238609350327136,600.4328258,b1,dSB
25,303,7.8479,30.0,8.0,0.7160074100607741,600.4328258,b1,dSB
26,303,7.8479,30.0,10.0,0.7348777124817475,600.4328258,b1,dSB
27,308,7.9012,30.0,0.3,0.863223140613195,600.4328258,b1,dSB
28,308,7.9012,30.0,0.6,0.7765208153149585,600.4328258,b1,dSB
29,308,7.9012,30.0,1.0,0.7451106907744126,600.4328258,b1,dSB
30,308,7.9012,30.0,1.5,0.7279031243158727,600.4328258,b1,dSB
31,308,7.9012,30.0,2.0,0.7096131655561054,600.4328258,b1,dSB
32,308,7.9012,30.0,4.0,0.698953096648324,600.4328258,b1,dSB
33,308,7.9012,30.0,6.0,0.6954153281306558,600.4328258,b1,dSB
34,308,7.9012,30.0,8.0,0.6958946859887702,600.4328258,b1,dSB
35,308,7.9012,30.0,10.0,0.6945022631254583,600.4328258,b1,dSB
36,313,7.9539,30.0,0.3,0.8537633895153621,600.4328258,b1,dSB
37,313,7.9539,30.0,0.6,0.7750162460799136,600.4328258,b1,dSB
38,313,7.9539,30.0,1.0,0.7076484480927753,600.4328258,b1,dSB
39,313,7.9539,30.0,1.5,0.6925760148987116,600.4328258,b1,dSB
40,313,7.9539,30.0,2.0,0.6753362932747748,600.4328258,b1,dSB
41,313,7.9539,30.0,4.0,0.6700289038776128,600.4328258,b1,dSB
42,313,7.9539,30.0,6.0,0.6604533449360673,600.4328258,b1,dSB
43,313,7.9539,30.0,8.0,0.659445613352373,600.4328258,b1,dSB
44,313,7.9539,30.0,10.0,0.6521804778197491,600.4328258,b1,dSB
45,318,8.0049,30.0,0.3,0.8544186144873991,600.4328258,b1,dSB
46,318,8.0049,30.0,0.6,0.7316005640809122,600.4328258,b1,dSB
47,318,8.0049,30.0,1.0,0.6961861679223662,600.4328258,b1,dSB
48,318,8.0049,30.0,1.5,0.6620415980590711,600.4328258,b1,dSB
49,318,8.0049,30.0,2.0,0.6506362992123528,600.4328258,b1,dSB
50,318,8.0049,30.0,4.0,0.6271673375423302,600.4328258,b1,dSB
51,318,8.0049,30.0,6.0,0.623351186253731,600.4328258,b1,dSB
52,318,8.0049,30.0,8.0,0.6221204872609537,600.4328258,b1,dSB
53,318,8.0049,30.0,10.0,0.6338585630166942,600.4328258,b1,dSB
54,293,4.3438,30.0,3.0,0.8620888809135715,600.4328258,b1,hSB
55,293,4.3438,30.0,5.0,0.6988150026683776,600.4328258,b1,hSB
56,293,4.3438,30.0,8.0,0.4643472172292198,600.4328258,b1,hSB
57,293,4.3438,30.0,12.0,0.28375235425673606,600.4328258,b1,hSB
